Com,HetAdv,HomAdv,Count,HetPrev,HomPrev
1.568,9E-5,-100,4294967295,0,0
1.568,0.0001,-100,4294967295,0,0
1.568,0.00011,-100,4294967295,0,0
1.568,0.00012,-100,4294967295,0,0
1.568,0.00013,-100,4294967295,0,0
1.568,0.00015,-100,4294967295,0,0
1.568,0.00016,-100,4294967295,0,0
1.568,0.00018,-100,4294967295,0,0
1.568,0.0002,-100,4294967295,0,0
1.568,0.00023,-100,4294967295,0,0
1.568,0.00025,-100,4294967295,0,0
1.568,0.00028,-100,4294967295,0,0
1.568,0.00031,-100,4294967295,0,0
1.568,0.00034,-100,4294967295,0,0
1.568,0.00038,-100,4294967295,0,0
1.568,0.00042,-100,4294967295,0,0
1.568,0.00047,-100,4294967295,0,0
1.568,0.00052,-100,4294967295,0,0
1.568,0.00058,-100,4294967295,0,0
1.568,0.00065,-100,4294967295,0,0
1.568,0.00072,-100,4294967295,0,0
1.568,0.0008,-100,4294967295,0,0
1.568,0.00089,-100,4294967295,0,0
1.568,0.00098,-100,4294967295,0,0
1.568,0.00109,-100,4294967295,0,0
1.568,0.00122,-100,4294967295,0,0
1.568,0.00135,-100,4294967295,0,0
1.568,0.0015,-100,4294967295,0,0
1.568,0.00167,-100,4294967295,0,0
1.568,0.00185,-100,4294967295,0,0
1.568,0.00206,-100,4294967295,0,0
1.568,0.00229,-100,4294967295,0,0
1.568,0.00254,-100,4294967295,0,0
1.568,0.00282,-100,4294967295,0,0
1.568,0.00314,-100,4294967295,0,0
1.568,0.00349,-100,4294967295,0,0
1.568,0.00387,-100,4294967295,0,0
1.568,0.0043,-100,4294967295,0,0
1.568,0.00478,-100,4294967295,0,0
1.568,0.00531,-100,4294967295,0,0
1.568,0.0059,-100,4294967295,0,0
1.568,0.00656,-100,4294967295,0,0
1.568,0.00729,-100,4294967295,0,0
1.568,0.0081,-100,4294967295,0,0
1.568,0.009,-100,4294967295,0,0
1.568,0.01,-100,4294967295,0,0
1.568,0.01111,-100,4294967295,0,0
1.568,0.01234,-100,4294967295,0,0
1.568,0.01371,-100,4294967295,0,0
1.568,0.01524,-100,4294967295,0,0
1.568,0.01693,-100,4294967295,0,0
1.568,0.01881,-100,4294967295,0,0
1.568,0.0209,-100,4294967295,0,0
1.568,0.02322,-100,4294967295,0,0
1.568,0.0258,-100,4294967295,0,0
1.568,0.02867,-100,4294967295,0,0
1.568,0.03185,-100,4294967295,0,0
1.568,0.03539,-100,4294967295,0,0
1.568,0.03933,-100,4294967295,0,0
1.568,0.04369,-100,4294967295,0,0
1.568,0.04855,-100,4294967295,0,0
1.568,0.05394,-100,4294967295,0,0
1.568,0.05994,-100,4294967295,0,0
1.568,0.0666,-100,4294967295,0,0
1.568,0.074,-100,4294967295,0,0
1.568,0.08222,-100,4294967295,0,0
1.568,0.09136,-100,4294967295,0,0
1.568,0.10151,-100,4294967295,0,0
1.568,0.11278,-100,4294967295,0,0
1.568,0.12532,-100,4294967295,0,0
1.568,0.13924,-100,4294967295,0,0
1.568,0.15471,-100,4294967295,0,0
1.568,0.1719,-100,4294967295,0,0
1.568,0.191,-100,4294967295,0,0
1.568,0.21222,-100,4294967295,0,0
1.568,0.2358,-100,4294967295,0,0
